date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:47	48716/48716	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2011:21:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html	(from )
22:48:48	126/126	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20Nov%202023%2013:04:41%20GMT	https://retrina.com/robots.txt		(from )
22:48:49	12024/12024	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Nov%202021%2004:49:32%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/favicon.png	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/favicon.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:49	205484/205484	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Oct%202021%2005:43:20%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:49	73228/73228	---MCZ	200	added ('OK')	text/css	date:Sat,%2006%20Nov%202021%2009:08:16%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap-icons.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap-icons.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:49	54852/54852	---MCZ	200	added ('OK')	text/css	date:Sat,%2013%20Nov%202021%2006:20:32%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/jquery.mCustomScrollbar.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/css/jquery.mCustomScrollbar.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:49	71750/71750	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Nov%202020%2021:39:48%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/animate.min.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/css/animate.min.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:50	3351/3351	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2000:52:10%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/css/owl.carousel.min.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:50	6951/6951	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2006:59:32%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/css/magnific-popup.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:50	43392/43392	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2014:49:35%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/style.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/css/style.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:50	9580/9580	---MCZ	200	added ('OK')	text/css	date:Sun,%2023%20Jan%202022%2010:39:18%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/colors/golden.css	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/colors/golden.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:50	178196/178196	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Nov%202021%2011:28:46%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/profile-img.jpg	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/profile-img.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:51	5215/5215	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Jan%202022%2009:54:02%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/responsive-dark.png	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/responsive-dark.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:51	169570/169570	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2010:57:10%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/about-img.jpg	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/about-img.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:51	10291/10291	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2002:53:16%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/client-01.png	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/client-01.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:51	11630/11630	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2002:53:28%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/client-02.png	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/client-02.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:52	59616/59616	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Aug%202021%2005:12:56%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/client-03.png	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/client-03.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
22:48:52	137035/137035	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2009:48:06%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item1.jpg	C:/My%20Web%20Sites/Profile/retrina.com/demo/arshia/arshia-plus/assets/img/webdesigner/portfolio-item1.jpg	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
